site_name,address,city,state,programs,has_ot,has_pt,has_pa,latitude,longitude,geo_key
Glens Falls City School District,"15 Quade Street Glens Falls, Glens Falls, NY",Glens Falls,NY,"PT, OT",True,True,False,43.3106142,-73.65926139999999,"15 QUADE STREET GLENS FALLS, GLENS FALLS, NY"
Glens Falls Hospital,"100 Park St, Glens Falls, NY",Glens Falls,NY,PA,False,False,True,43.3075477,-73.64506949999999,"100 PARK ST, GLENS FALLS, NY"
Glens Falls Hospital Rehabilitation and Wellness,"2 Country Club Rd, Queensbury, NY",Queensbury,NY,PT,False,True,False,43.332938,-73.6637023,"2 COUNTRY CLUB RD, QUEENSBURY, NY"
Golden Bear Physical Therapy -Modesto,"1335 Coffee Rd. , Suite 200, Modesto, CA",Modesto,CA,"PT, OT",True,True,False,37.6628438,-120.976251,"1335 COFFEE RD. , SUITE 200, MODESTO, CA"
Golden Bear Therapy - Two Trees,"2119 E Hatch Rd, Modesto, CA",Modesto,CA,OT,True,False,False,37.6097319,-120.9561402,"2119 E HATCH RD, MODESTO, CA"
Good Samaritan,"401 15th Ave SE, Puyallup, WA",Puyallup,WA,"PT, OT",True,True,False,47.1785459,-122.2899851,"401 15TH AVE SE, PUYALLUP, WA"
Good Shepherd,"850 S. Fifth St., Allentown, PA",Allentown,PA,"OT, PT",True,True,False,40.593185,-75.4647409,"850 S. FIFTH ST., ALLENTOWN, PA"
Goodman Pediatrics,"500 Helendale Road LLE-10,, The Laurelton Building, Medical and Professional Offices, Rochester, NY",Rochester,NY,PA,False,False,True,43.1790645,-77.5450103,"500 HELENDALE ROAD LLE-10,, THE LAURELTON BUILDING, MEDICAL AND PROFESSIONAL OFFICES, ROCHESTER, NY"
Gouverneur Central School District,"133 East Barney Street, Gouverneur, NY",Gouverneur,NY,OT,True,False,False,44.3410702,-75.4653281,"133 EAST BARNEY STREET, GOUVERNEUR, NY"
Grace Cottage Family Health & Hospital,"185 Grafton Road (Route 35), P.O. Box 216, Townshend, VT",Townshend,VT,"PT, PA, OT",True,True,True,43.0489726,-72.66807510000001,"185 GRAFTON ROAD (ROUTE 35), P.O. BOX 216, TOWNSHEND, VT"
Grady Memorial Hospital,"80 Jesse Hill Jr Dr SE, Atlanta, GA",Atlanta,GA,PT,False,True,False,33.7517847,-84.38200719999999,"80 JESSE HILL JR DR SE, ATLANTA, GA"
Great Strides Rehabiliation,"12276 San Jose Blvd, Suite 508, Jacksonville, FL",Jacksonville,FL,OT,True,False,False,30.1471588,-81.6358936,"12276 SAN JOSE BLVD, SUITE 508, JACKSONVILLE, FL"
Greece Obstetrics and Gynecology LLP,"2337 Ridgeway Ave, Rochester, NY",Rochester,NY,PA,False,False,True,43.1881835,-77.6936121,"2337 RIDGEWAY AVE, ROCHESTER, NY"
Green Chimneys Childrens's Services,"400 Doansburg Road, Brewster, NY",Brewster,NY,OT,True,False,False,41.4536592,-73.55197319999999,"400 DOANSBURG ROAD, BREWSTER, NY"
Greene Physical Therapy,"7 Canal St., Greene, NY",Greene,NY,PT,False,True,False,42.3292016,-75.7719901,"7 CANAL ST., GREENE, NY"
Greiner Physical Therapy,"170 Montauk HIghway Unit 1, P.O. Box 318, Speonk, NY",Speonk,NY,PT,False,True,False,40.8188536,-72.6927152,"170 MONTAUK HIGHWAY UNIT 1, P.O. BOX 318, SPEONK, NY"
Greystone Park Psychiatric Hospital,"59 Koch Avenue, Morris Plains, NJ",Morris Plains,NJ,OT,True,False,False,40.8388485,-74.510483,"59 KOCH AVENUE, MORRIS PLAINS, NJ"
Guam Memorial Hospital Authority,"850 Gov Carlos G Camacho Rd, Tamuning, Guam",Tamuning,Guam,PA,False,False,True,13.5040299,144.7759879,"850 GOV CARLOS G CAMACHO RD, TAMUNING, GUAM"
Guthrie Cortland Medical Center,"134 Homer Avenue, Cortland, NY",Cortland,NY,OT,True,False,False,42.6085691,-76.18812559999999,"134 HOMER AVENUE, CORTLAND, NY"
Hands of Hope-Queens Village,"80-03 211th Street, Queens Village, NY",Queens Village,NY,PT,False,True,False,40.7333479,-73.7595302,"80-03 211TH STREET, QUEENS VILLAGE, NY"
Havasu Regional MC,"101 Civic Center Lane, Lake Havesu City, AZ",Lake Havesu City,AZ,"PT, PA, OT",True,True,True,34.4804007,-114.3391649,"101 CIVIC CENTER LANE, LAKE HAVESU CITY, AZ"
